# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	162.53	260.87	3906.25	3906.25	1860.61	974.91	391.91	278.61	549.69	231.39	660.49	549.69	3906.25
File size [kB] = 4 Block size [kB] = 4 Run = 2	245.25	484.65	3906.25	3906.25	2098.98	660.49	357.68	260.87	499.42	433.37	484.65	660.49	2098.98
File size [kB] = 4 Block size [kB] = 4 Run = 3	216.13	484.65	3906.25	3906.25	3409.29	634.9	328.96	634.9	499.42	433.37	660.49	568.78	3906.25
File size [kB] = 4 Block size [kB] = 4 Run = 4	298.95	549.69	3906.25	3906.25	3409.29	660.49	350.04	499.42	484.65	186.59	195.5	549.69	3906.25
File size [kB] = 4 Block size [kB] = 4 Run = 5	304.5	568.78	3906.25	3906.25	3409.29	660.49	391.91	568.78	660.49	433.37	549.69	634.9	1387.8
File size [kB] = 8 Block size [kB] = 4 Run = 1	597.89	657.92	3721.23	7812.5	4197.96	1099.39	866.75	1320.99	1574.95	1320.99	969.3	1320.99	3721.23
File size [kB] = 8 Block size [kB] = 4 Run = 2	557.22	969.3	6818.58	6818.58	1502.73	1320.99	765.5	1099.39	1269.8	1099.39	1137.55	969.3	3721.23
File size [kB] = 8 Block size [kB] = 4 Run = 3	557.22	557.22	6818.58	6818.58	6818.58	969.3	783.82	1320.99	1574.95	1320.99	866.75	1320.99	1949.81
File size [kB] = 8 Block size [kB] = 4 Run = 4	557.22	866.75	7812.5	7812.5	4197.96	1269.8	783.82	969.3	1099.39	1099.39	1137.55	1320.99	4197.96
File size [kB] = 8 Block size [kB] = 4 Run = 5	391.0	1099.39	7812.5	7812.5	6818.58	1269.8	521.74	456.34	1320.99	1137.55	338.49	998.85	7812.5
File size [kB] = 8 Block size [kB] = 8 Run = 1	597.89	1137.55	7812.5	7812.5	7812.5	490.5	462.79	969.3	1269.8	969.3	1099.39	644.97	1574.95
File size [kB] = 8 Block size [kB] = 8 Run = 2	490.5	866.75	6818.58	7812.5	7812.5	1099.39	866.75	410.6	1320.99	998.85	462.79	597.89	6818.58
File size [kB] = 8 Block size [kB] = 8 Run = 3	410.6	1099.39	6818.58	7812.5	7812.5	1269.8	969.3	1269.8	1574.95	1320.99	1137.55	1949.81	3721.23
File size [kB] = 8 Block size [kB] = 8 Run = 4	557.22	1269.8	7812.5	6818.58	7812.5	1574.95	969.3	1137.55	1269.8	1099.39	1099.39	1574.95	7812.5
File size [kB] = 8 Block size [kB] = 8 Run = 5	521.74	998.85	6818.58	7812.5	6818.58	490.5	866.75	391.0	657.92	969.3	969.3	1320.99	3721.23
File size [kB] = 16 Block size [kB] = 4 Run = 1	625.31	1315.83	7442.46	3149.91	5551.22	1567.63	1567.63	1733.5	912.68	1567.63	1430.74	2275.11	5551.22
File size [kB] = 16 Block size [kB] = 4 Run = 2	706.16	1289.93	5117.72	7442.46	7442.46	1531.01	676.98	1997.7	966.53	1733.5	1567.63	2275.11	966.53
