# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
File size [kB] = 4 Block size [kB] = 4 Run = 1	298.95	568.78	3906.25	3906.25	3906.25	634.9	350.04	484.65	484.65	391.91	433.37	549.69	2098.98
File size [kB] = 4 Block size [kB] = 4 Run = 2	156.33	549.69	3409.29	3906.25	3906.25	660.49	391.91	634.9	634.9	433.37	634.9	634.9	2098.98
File size [kB] = 4 Block size [kB] = 4 Run = 3	322.48	549.69	3906.25	3906.25	1860.61	634.9	391.91	634.9	634.9	634.9	568.78	549.69	3906.25
File size [kB] = 4 Block size [kB] = 4 Run = 4	150.58	484.65	3906.25	3906.25	2098.98	660.49	350.04	549.69	241.63	499.42	549.69	568.78	3906.25
File size [kB] = 4 Block size [kB] = 4 Run = 5	328.96	549.69	2098.98	3906.25	2098.98	634.9	162.53	549.69	260.87	433.37	549.69	445.15	3906.25
File size [kB] = 8 Block size [kB] = 4 Run = 1	456.34	969.3	7812.5	7812.5	6818.58	1099.39	866.75	410.6	483.26	1269.8	1320.99	521.74	4197.96
File size [kB] = 8 Block size [kB] = 4 Run = 2	557.22	866.75	7812.5	7812.5	7812.5	1099.39	998.85	1137.55	1320.99	969.3	969.3	1574.95	2558.86
File size [kB] = 8 Block size [kB] = 4 Run = 3	301.16	866.75	7812.5	6818.58	3721.23	1574.95	969.3	1574.95	1320.99	557.22	969.3	490.5	2558.86
File size [kB] = 8 Block size [kB] = 4 Run = 4	609.01	969.3	7812.5	2558.86	4197.96	1099.39	866.75	1099.39	1574.95	1137.55	1269.8	1574.95	3721.23
File size [kB] = 8 Block size [kB] = 4 Run = 5	597.89	521.74	7812.5	7812.5	7812.5	1320.99	1137.55	1269.8	513.56	1137.55	1269.8	1949.81	6818.58
File size [kB] = 8 Block size [kB] = 8 Run = 1	597.89	1320.99	6818.58	7812.5	7812.5	1320.99	969.3	998.85	1269.8	998.85	1137.55	1320.99	6818.58
File size [kB] = 8 Block size [kB] = 8 Run = 2	278.15	969.3	7812.5	7812.5	4197.96	1137.55	765.5	1320.99	1949.81	1099.39	1320.99	1574.95	4197.96
File size [kB] = 8 Block size [kB] = 8 Run = 3	557.22	969.3	7812.5	7812.5	6818.58	1574.95	866.75	1320.99	1949.81	1137.55	1320.99	1949.81	4197.96
File size [kB] = 8 Block size [kB] = 8 Run = 4	597.89	1099.39	6818.58	7812.5	7812.5	1320.99	969.3	1320.99	1320.99	521.74	1320.99	1574.95	3721.23
File size [kB] = 8 Block size [kB] = 8 Run = 5	644.97	597.89	7812.5	7812.5	6818.58	1574.95	1099.39	1320.99	1949.81	1269.8	1269.8	2558.86	6818.58
File size [kB] = 16 Block size [kB] = 4 Run = 1	912.68	1733.5	15625.0	15625.0	7442.46	1733.5	1430.74	1567.63	2641.97	1938.61	1567.63	3149.91	5117.72
File size [kB] = 16 Block size [kB] = 4 Run = 2	864.53	1043.47	8395.92	13637.15	5117.72	1997.7	1430.74	746.38	2275.11	746.38	1733.5	2275.11	7442.46
File size [kB] = 16 Block size [kB] = 4 Run = 3	821.19	1567.63	8395.92	13637.15	5551.22	1733.5	1567.63	1733.5	1938.61	1733.5	1567.63	864.53	5117.72
File size [kB] = 16 Block size [kB] = 4 Run = 4	821.19	1733.5	7442.46	13637.15	7442.46	1567.63	1938.61	2275.11	2198.77	1733.5	1733.5	1043.47	7442.46
File size [kB] = 16 Block size [kB] = 4 Run = 5	980.99	1289.93	8395.92	15625.0	5117.72	1733.5	1567.63	1733.5	1938.61	1733.5	1733.5	2641.97	7442.46
File size [kB] = 16 Block size [kB] = 8 Run = 1	980.99	1733.5	8395.92	15625.0	7442.46	2641.97	1733.5	2198.77	2198.77	1733.5	1733.5	2198.77	5117.72
File size [kB] = 16 Block size [kB] = 8 Run = 2	821.19	1567.63	7442.46	13637.15	8395.92	1997.7	1733.5	1997.7	2539.59	1938.61	1733.5	3149.91	13637.15
File size [kB] = 16 Block size [kB] = 8 Run = 3	1043.47	1733.5	15625.0	15625.0	7442.46	1733.5	1938.61	2198.77	2275.11	1733.5	1733.5	2539.59	5117.72
File size [kB] = 16 Block size [kB] = 8 Run = 4	980.99	1733.5	13637.15	13637.15	8395.92	1938.61	2275.11	1938.61	3149.91	912.68	1997.7	2641.97	7442.46
File size [kB] = 16 Block size [kB] = 8 Run = 5	876.08	1938.61	15625.0	15625.0	7442.46	1733.5	1531.01	2198.77	2275.11	1733.5	1733.5	3149.91	3149.91
File size [kB] = 16 Block size [kB] = 16 Run = 1	821.19	1938.61	15625.0	15625.0	8395.92	2198.77	782.0	1938.61	2539.59	2198.77	1567.63	3149.91	5117.72
File size [kB] = 16 Block size [kB] = 16 Run = 2	864.53	1938.61	15625.0	15625.0	15625.0	2198.77	1733.5	1733.5	2275.11	821.19	1733.5	3149.91	5117.72
File size [kB] = 16 Block size [kB] = 16 Run = 3	1043.47	1938.61	15625.0	15625.0	15625.0	2275.11	1938.61	1997.7	3899.63	1938.61	1997.7	3149.91	7442.46
File size [kB] = 16 Block size [kB] = 16 Run = 4	1043.47	1938.61	15625.0	15625.0	15625.0	2539.59	2275.11	1938.61	2641.97	1733.5	1938.61	2641.97	8395.92
File size [kB] = 16 Block size [kB] = 16 Run = 5	821.19	1733.5	15625.0	15625.0	7442.46	1997.7	1780.59	1997.7	3149.91	1733.5	1938.61	2641.97	5117.72
File size [kB] = 32 Block size [kB] = 4 Run = 1	1250.62	2391.58	7799.26	10235.44	6299.81	2391.58	2579.87	3135.27	3135.27	2631.67	1250.62	3877.22	6299.81
